UniprotID,Gene name,Name,Start of LCR,End of LCR,Protein length,LCR type,Organism,Source,Source ID,Start of annotation,End of annotation,Annotation,Category,Gene Ontology of category,
M9NES1,zld,"Zelda, isoform D",894,1274,1596,,Drosophila melanogaster (Fruit fly),Transcriptional activation is a conserved feature of the early embryonic factor zelda that requires a cluster of four zinc fingers for DNA binding and a low-complexity activation domain,10.1074/jbc.M114.602292,904,1297,transcription activation,transcription regulator activator activity,GO:0140537,
O00268,TAF4,Transcription initiation factor TFIID subunit 4,675,820,1085,,Homo sapiens (Human),"Expanded polyglutamine stretches interact with TAF(II)130, interfering with CREB-dependent transcription",10.1038/79139,670,947,interaction with expanded polyQ stretches,protein binding,GO:0005515,
O74958,mmi1,RNA binding exosome specificity factor Mmi1,282,346,488,,Schizosaccharomyces pombe,A low-complexity region in the YTH domain protein Mmi1 enhances RNA binding,10.1074/jbc.RA118.002291,282,326,stabilization of RNA binding,positive regulation of RNA binding,GO:1905216,
O74958,mmi1,RNA binding exosome specificity factor Mmi2,,,488,,Schizosaccharomyces pombe,Reconstitution of Targeted Deadenylation by the Ccr4-Not Complex and the YTH Domain Protein Mmi1,10.1016/j.celrep.2016.10.066,1,56,specificity factor required for interaction with Ccr4-Not,CCR4-NOT complex binding,GO:1905762,
P05453,GST1,Eukaryotic peptide chain release factor GTP-binding subunit,4,112,685,,Saccharomyces cerevisiae,Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,2,134,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,189,319,372,,Homo sapiens (Human),Cell-free formation of RNA granules: Low complexity sequence domains form dynamic fibers within hydrogels,10.1016/j.cell.2012.04.017,186,320,forming and dissolving RNA granules,molecular condensate scaffold activity,GO:0140693,
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,189,319,372,,Homo sapiens (Human),Phase Separation by Low Complexity Domains Promotes Stress Granule Assembly and Drives Pathological Fibrillization,10.1016/j.cell.2015.09.015,186,320,D262V mutation causes increased fibrilization in Liquid-Liquid Phase Separation,mutation,,
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,189,319,372,,Homo sapiens (Human),Interplay of folded domains and the disordered low-complexity domain in mediating hnRNPA1 phase separation,10.1093/nar/gkab063,186,259,interacts with folded domains modulating phase separation,molecular condensate scaffold activity,GO:0140693,
P09651,HNRNPA1,Heterogeneous nuclear ribonucleoprotein A1,189,319,372,,Homo sapiens (Human),Interplay of folded domains and the disordered low-complexity domain in mediating hnRNPA1 phase separation,10.1093/nar/gkab063,264,320,interacts with folded domains modulating phase separation,molecular condensate scaffold activity,GO:0140693,
P10961,HSF1,Heat shock transcription factor,509,525,833,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),The disordered C-terminus of yeast hsf1 contains a cryptic low-complexity amyloidogenic region,10.3390/ijms19051384,504,521,β-sheet,β-strands,,
